layer_id,layer_type,layer_params,layer_params_percent,params_reduced,params_reduction_percent,size_reduction_percent,gen_baseline_map50_95,gen_replaced_map50_95,ad_gen_map50_95,replaced_model_path
11,Upsample,0,0.000000,0,0.000000,-0.308914,0.499741,0.499741,0.000000,/home/afm176/yolo_project/4_swprunability/results/physical_layer_replacement_20260717_101025/saved_layer_replaced_models/replace_L11_Upsample.pt
12,Concat,0,0.000000,0,0.000000,-0.283626,0.499741,0.499741,0.000000,/home/afm176/yolo_project/4_swprunability/results/physical_layer_replacement_20260717_101025/saved_layer_replaced_models/replace_L12_Concat.pt
14,Upsample,0,0.000000,0,0.000000,-0.308914,0.499741,0.499741,0.000000,/home/afm176/yolo_project/4_swprunability/results/physical_layer_replacement_20260717_101025/saved_layer_replaced_models/replace_L14_Upsample.pt
15,Concat,0,0.000000,0,0.000000,-0.283626,0.499741,0.499741,0.000000,/home/afm176/yolo_project/4_swprunability/results/physical_layer_replacement_20260717_101025/saved_layer_replaced_models/replace_L15_Concat.pt
18,Concat,0,0.000000,0,0.000000,-0.283626,0.499741,0.499741,0.000000,/home/afm176/yolo_project/4_swprunability/results/physical_layer_replacement_20260717_101025/saved_layer_replaced_models/replace_L18_Concat.pt
21,Concat,0,0.000000,0,0.000000,-0.283626,0.499741,0.499741,0.000000,/home/afm176/yolo_project/4_swprunability/results/physical_layer_replacement_20260717_101025/saved_layer_replaced_models/replace_L21_Concat.pt
9,SPPF,164608,6.563082,164608,6.563082,5.952793,0.499741,0.435131,0.064609,/home/afm176/yolo_project/4_swprunability/results/physical_layer_replacement_20260717_101025/saved_layer_replaced_models/replace_L9_SPPF.pt
20,Conv,147712,5.889422,147712,5.889422,5.239489,0.499741,0.350945,0.148795,/home/afm176/yolo_project/4_swprunability/results/physical_layer_replacement_20260717_101025/saved_layer_replaced_models/replace_L20_Conv.pt
22,C3k2,463104,18.464409,463104,18.464409,17.374586,0.499741,0.341651,0.158090,/home/afm176/yolo_project/4_swprunability/results/physical_layer_replacement_20260717_101025/saved_layer_replaced_models/replace_L22_C3k2.pt
17,Conv,36992,1.474907,36992,1.474907,1.153268,0.499741,0.179908,0.319833,/home/afm176/yolo_project/4_swprunability/results/physical_layer_replacement_20260717_101025/saved_layer_replaced_models/replace_L17_Conv.pt
7,Conv,295424,11.778844,295424,11.778844,10.707198,0.499741,0.166568,0.333173,/home/afm176/yolo_project/4_swprunability/results/physical_layer_replacement_20260717_101025/saved_layer_replaced_models/replace_L7_Conv.pt
8,C3k2,346112,13.799824,346112,13.799824,13.012775,0.499741,0.145363,0.354377,/home/afm176/yolo_project/4_swprunability/results/physical_layer_replacement_20260717_101025/saved_layer_replaced_models/replace_L8_C3k2.pt
16,C3k2,34304,1.367734,34304,1.367734,1.435493,0.499741,0.101128,0.398613,/home/afm176/yolo_project/4_swprunability/results/physical_layer_replacement_20260717_101025/saved_layer_replaced_models/replace_L16_C3k2.pt
19,C3k2,95232,3.796993,95232,3.796993,3.714529,0.499741,0.062571,0.437169,/home/afm176/yolo_project/4_swprunability/results/physical_layer_replacement_20260717_101025/saved_layer_replaced_models/replace_L19_C3k2.pt
10,C2PSA,249728,9.956899,249728,9.956899,9.386313,0.499741,0.030977,0.468764,/home/afm176/yolo_project/4_swprunability/results/physical_layer_replacement_20260717_101025/saved_layer_replaced_models/replace_L10_C2PSA.pt
13,C3k2,119808,4.776862,119808,4.776862,4.620481,0.499741,0.017158,0.482583,/home/afm176/yolo_project/4_swprunability/results/physical_layer_replacement_20260717_101025/saved_layer_replaced_models/replace_L13_C3k2.pt
5,Conv,147712,5.889422,147712,5.889422,5.252612,0.499741,0.000717,0.499024,/home/afm176/yolo_project/4_swprunability/results/physical_layer_replacement_20260717_101025/saved_layer_replaced_models/replace_L5_Conv.pt
6,C3k2,87040,3.470370,87040,3.470370,3.424783,0.499741,0.000458,0.499282,/home/afm176/yolo_project/4_swprunability/results/physical_layer_replacement_20260717_101025/saved_layer_replaced_models/replace_L6_C3k2.pt
2,C3k2,6640,0.264743,6640,0.264743,0.192832,0.499741,0.000184,0.499557,/home/afm176/yolo_project/4_swprunability/results/physical_layer_replacement_20260717_101025/saved_layer_replaced_models/replace_L2_C3k2.pt
1,Conv,4672,0.186277,4672,0.186277,-0.027389,0.499741,0.000026,0.499715,/home/afm176/yolo_project/4_swprunability/results/physical_layer_replacement_20260717_101025/saved_layer_replaced_models/replace_L1_Conv.pt
3,Conv,36992,1.474907,36992,1.474907,1.166391,0.499741,0.000001,0.499739,/home/afm176/yolo_project/4_swprunability/results/physical_layer_replacement_20260717_101025/saved_layer_replaced_models/replace_L3_Conv.pt
4,C3k2,26080,1.039835,26080,1.039835,0.919481,0.499741,0.000001,0.499740,/home/afm176/yolo_project/4_swprunability/results/physical_layer_replacement_20260717_101025/saved_layer_replaced_models/replace_L4_C3k2.pt
0,Conv,464,0.018500,464,0.018500,-0.231465,0.499741,0.000000,0.499741,/home/afm176/yolo_project/4_swprunability/results/physical_layer_replacement_20260717_101025/saved_layer_replaced_models/replace_L0_Conv.pt
